Actual,Predicted
1.101696224194443907e-01,1.405038237571716309e-01
1.095085552593451084e-01,1.497766077518463135e-01
1.572876476203126650e-01,1.639324575662612915e-01
1.931520856051083257e-01,2.163004279136657715e-01
2.549340631844283500e-01,2.718265354633331299e-01
3.138030205208837131e-01,3.157559931278228760e-01
2.151897170076519927e-01,3.529849052429199219e-01
2.577945687463509827e-01,3.069227933883666992e-01
2.131663572419286723e-01,2.833238840103149414e-01
1.087733497261513804e-01,2.570874691009521484e-01
4.347844890167085197e-01,2.006328850984573364e-01
4.497233711953887436e-01,3.129456639289855957e-01
3.793969461168482660e-01,3.984716236591339111e-01
4.252360843818245861e-01,4.168764352798461914e-01
4.538504072976872195e-01,4.466667175292968750e-01
4.485773155112924293e-01,4.727257490158081055e-01
4.178531380610959189e-01,4.852266907691955566e-01
4.837219934572885016e-01,4.681399166584014893e-01
4.800274311980454733e-01,4.860733151435852051e-01
4.743249546674737083e-01,4.838559031486511230e-01
4.070845393690203373e-01,4.927043914794921875e-01
3.777411891177222536e-01,4.814650714397430420e-01
4.333882163234163976e-01,4.603470265865325928e-01
4.167194387725157156e-01,4.759344756603240967e-01
4.150389689823579253e-01,4.797063171863555908e-01
3.400294700033050788e-01,5.092480182647705078e-01
4.092839777708445759e-01,5.103811025619506836e-01
3.912374621199248281e-01,5.492169260978698730e-01
6.442531949005152470e-01,5.552499294281005859e-01
5.165004216619970556e-01,6.471296548843383789e-01
5.563312626073848577e-01,6.148043274879455566e-01
5.781464788906425234e-01,5.504325628280639648e-01
5.278868401298657531e-01,4.973385632038116455e-01
4.797339668045430550e-01,4.520766437053680420e-01
4.804938851287690049e-01,4.324744641780853271e-01
3.764345002919196048e-01,4.283832013607025146e-01
3.863165276057318742e-01,4.071754515171051025e-01
4.878366731640717546e-01,4.152024984359741211e-01
4.599760903746767937e-01,4.549286961555480957e-01
3.945644216125714365e-01,4.747822880744934082e-01
4.242475727405561337e-01,4.574940800666809082e-01
4.541562280867048607e-01,4.635499119758605957e-01
5.869936580800017012e-01,4.588900506496429443e-01
5.082617949517946876e-01,5.049431324005126953e-01
4.299624056666431215e-01,4.869516491889953613e-01
3.735925293232713607e-01,4.457452297210693359e-01
3.661416228272051931e-01,4.199879765510559082e-01
4.249766000759915840e-01,4.086223244667053223e-01
4.792922256648508572e-01,4.287040531635284424e-01
3.882194125151752218e-01,4.608639478683471680e-01
3.719614851151771262e-01,4.691154360771179199e-01
4.195675879389226814e-01,4.832913279533386230e-01
6.246343279202020149e-01,5.316336154937744141e-01
5.402741266345199023e-01,6.341712474822998047e-01
